Array Size;Time
500;6
600;7
700;8
800;9
900;11
1000;12
1100;13
1200;14
1300;15
1400;17
1500;18
1600;19
1700;21
1800;22
1900;46
2000;95
2100;26
2200;27
2300;28
2400;125
2500;45
2600;45
2700;58
2800;34
2900;68
3000;138
3100;96
3200;38
3300;21
3400;43
3500;44
3600;83
3700;162
3800;47
3900;219
4000;49
4100;51
4200;52
4300;241
4400;54
4500;55
4600;102
4700;57
4800;23
4900;337
5000;61
5100;62
5200;317
5300;259
5400;66
5500;127
5600;284
5700;153
5800;85
5900;265
6000;232
6100;281
6200;334
6300;256
6400;77
6500;81
6600;506
6700;633
6800;86
6900;471
7000;423
7100;89
7200;509
7300;249
7400;362
7500;205
7600;267
7700;373
7800;615
7900;28
8000;506
8100;179
8200;642
8300;401
8400;505
8500;438
8600;142
8700;39
8800;584
8900;385
9000;248
9100;11
9200;496
9300;338
9400;454
9500;696
9600;431
9700;854
9800;246
9900;372
10000;277
10100;773
10200;67
10300;608
10400;465
10500;178
10600;533
10700;658
10800;325
10900;932
11000;57
11100;393
11200;34
11300;888
11400;301
11500;476
11600;15
11700;839
11800;3
11900;733
12000;717
12100;73
12200;854
12300;318
12400;756
12500;251
12600;935
12700;688
12800;1203
12900;805
13000;556
13100;987
13200;444
13300;731
13400;688
13500;79
13600;628
13700;756
13800;954
13900;869
14000;957
14100;832
14200;1013
14300;822
14400;638
14500;686
14600;1052
14700;1145
14800;57
14900;548
15000;89
15100;995
15200;894
15300;538
15400;51
15500;63
15600;945
15700;359
15800;1035
15900;1296
16000;1646
16100;1318
16200;1284
16300;1291
16400;1312
16500;364
16600;936
16700;1518
16800;1058
16900;1341
17000;1257
17100;1586
17200;1492
17300;155
17400;868
17500;1204
17600;1415
17700;133
17800;1
17900;838
18000;946
18100;129
18200;1174
18300;1268
18400;701
18500;1675
18600;1088
18700;839
18800;1071
18900;1167
19000;1423
19100;1575
19200;1679
19300;1521
19400;1461
19500;1296
19600;1856
19700;28
19800;1252
19900;1267
20000;1655
20100;1541
20200;1575
20300;1361
20400;1193
20500;63
20600;1607
20700;1183
20800;732
20900;1819
21000;1693
21100;1349
21200;1737
21300;912
21400;1265
21500;1659
21600;1562
21700;505
21800;1375
21900;1244
22000;1634
22100;1998
22200;1083
22300;1274
22400;2299
22500;274
22600;961
22700;1817
22800;1623
22900;1817
23000;1872
23100;2086
23200;2079
23300;1044
23400;285
23500;1537
23600;1188
23700;1909
23800;1677
23900;2033
24000;1588
24100;1737
24200;1556
24300;1949
24400;2047
24500;2108
24600;2035
24700;2498
24800;1083
24900;2021
25000;1888
25100;2402
25200;1151
25300;1422
25400;1786
25500;195
25600;1917
25700;2424
25800;1476
25900;2762
26000;1957
26100;2618
26200;1317
26300;2284
26400;218
26500;2298
26600;2338
26700;175
26800;1854
26900;989
27000;2781
27100;758
27200;2549
27300;2235
27400;2058
27500;281
27600;206
27700;2227
27800;2219
27900;209
28000;2353
28100;1829
28200;2458
28300;1178
28400;2083
28500;301
28600;2256
28700;2344
28800;1628
28900;2064
29000;2472
29100;2571
29200;1732
29300;2953
29400;2555
29500;2716
29600;1582
29700;2732
29800;3068
29900;2509
30000;2726
30100;2701
30200;2185
30300;2682
30400;2581
30500;1745
30600;171
30700;2057
30800;2519
30900;2698
31000;2102
31100;2279
31200;2437
31300;2497
31400;3118
31500;2687
31600;3061
31700;2572
31800;2999
31900;3167
32000;288
32100;3172
32200;2907
32300;2915
32400;2459
32500;2184
32600;2545
32700;1922
32800;1153
32900;294
33000;2891
33100;254
33200;257
33300;2342
33400;2667
33500;3459
33600;29
33700;3364
33800;287
33900;3347
34000;3354
34100;3855
34200;3205
34300;2458
34400;3651
34500;261
34600;3115
34700;2795
34800;2928
34900;306
35000;3015
35100;3272
35200;2489
35300;3091
35400;2126
35500;3102
35600;3112
35700;333
35800;2355
35900;2974
36000;3418
36100;2825
36200;298
36300;2146
36400;3567
36500;2476
36600;3354
36700;2657
36800;3143
36900;3927
37000;3415
37100;3871
37200;3529
37300;3099
37400;3995
37500;214
37600;363
37700;3217
37800;3186
37900;2023
38000;3592
38100;2897
38200;3316
38300;3233
38400;3332
38500;2563
38600;2372
38700;3214
38800;4045
38900;1978
39000;2055
39100;3824
39200;2209
39300;3335
39400;3949
39500;4135
39600;3462
39700;3356
39800;1502
39900;3596
40000;3353
40100;2009
40200;3661
40300;3366
40400;3191
40500;3532
40600;3634
40700;3746
40800;3948
40900;3579
41000;2479
41100;4007
41200;3095
41300;4018
41400;2917
41500;3228
41600;3059
41700;3861
41800;3631
41900;4059
42000;361
42100;4547
42200;3421
42300;3414
42400;2496
42500;4487
42600;3582
42700;3549
42800;2667
42900;2801
43000;3438
43100;3306
43200;4259
43300;4414
43400;2566
43500;3536
43600;3869
43700;382
43800;4467
43900;3572
44000;4871
44100;39
44200;4832
44300;4474
44400;5137
44500;3546
44600;3278
44700;4392
44800;4747
44900;491
45000;5126
45100;4421
45200;4214
45300;421
45400;4054
45500;4114
45600;4772
45700;4029
45800;3887
45900;4739
46000;4859
46100;4305
46200;3604
46300;405
46400;4438
46500;3342
46600;4248
46700;4535
46800;4307
46900;438
47000;4584
47100;5095
47200;5083
47300;4475
47400;517
47500;4397
47600;4347
47700;5083
47800;471
47900;4054
48000;4374
48100;5007
48200;4336
48300;4117
48400;414
48500;4216
48600;4579
48700;3864
48800;4466
48900;467
49000;486
49100;4883
49200;5236
49300;4656
49400;3437
49500;4026
49600;406
49700;5146
49800;4683
49900;4998
50000;387
50100;5018
50200;513
50300;4714
50400;542
50500;4572
50600;48
50700;4837
50800;403
50900;3858
51000;5186
51100;4539
51200;531
51300;504
51400;5197
51500;557
51600;5171
51700;5206
51800;5637
51900;4891
52000;5486
52100;5072
52200;5046
52300;4747
52400;4357
52500;5002
52600;5463
52700;4267
52800;5316
52900;5221
53000;5408
53100;5009
53200;4747
53300;5423
53400;5935
53500;4793
53600;5738
53700;566
53800;5127
53900;4862
54000;5411
54100;5885
54200;4281
54300;5142
54400;4691
54500;4709
54600;568
54700;5129
54800;616
54900;612
55000;6143
55100;5544
55200;5335
55300;5807
55400;445
55500;5863
55600;5209
55700;5873
55800;6276
55900;5921
56000;5656
56100;4148
56200;5975
56300;5426
56400;4856
56500;4895
56600;5795
56700;5875
56800;6055
56900;6
57000;6067
57100;4985
57200;6124
57300;5936
57400;5887
57500;6002
57600;6073
57700;6212999999
57800;5764
57900;5935
58000;5711
58100;5613
58200;5342
58300;5505
58400;6101
58500;6471
58600;678
58700;4992
58800;5766
58900;5233
59000;5305
59100;4224
59200;54
59300;6315
59400;6487
59500;5477
59600;5104
59700;5132
59800;5527
59900;6283
60000;6407
60100;5801
60200;6414
60300;5
60400;5067
60500;5379
60600;6314
60700;5958
60800;6454
60900;6585
61000;5476
61100;7070999999
61200;5837
61300;5866
61400;6652
61500;6055
61600;5479
61700;6031
61800;6307
61900;6126
62000;686
62100;6765
62200;6014
62300;5595
62400;6638
62500;5886
62600;5696
62700;6461
62800;5215
62900;6361
63000;6371999999
63100;6266
63200;5847
63300;6264
63400;6958
63500;6907
63600;5986
63700;6544
63800;7237
63900;6261
64000;6168
64100;6813
64200;6278
64300;7323
64400;6445
64500;7221
64600;7006
64700;572
64800;6172
64900;7048
65000;5328
65100;7508
65200;7257
65300;7543
65400;6578
65500;6777
65600;6023
65700;6278
65800;6961
65900;6283
66000;706
66100;8085
66200;6551
66300;6873
66400;643
66500;6933
66600;4888
66700;6785
66800;7167
66900;682
67000;6636
67100;583
67200;6527
67300;6087
67400;6588
67500;7788
67600;7047
67700;6543
67800;7075
67900;6871
68000;6494
68100;6999
68200;7666
68300;5304
68400;6357
68500;7595
68600;8497
68700;775
68800;7803
68900;8088
69000;7082
69100;7578
69200;7097
69300;812
69400;6692
69500;7497
69600;7553
69700;7366
69800;7119
69900;6588
70000;7922
70100;7599
70200;803
70300;661
70400;7524
70500;7632
70600;7156
70700;7325
70800;7024
70900;8139
71000;7905
71100;7263
71200;7393
71300;7195
71400;7413
71500;7692
71600;7328
71700;8372
71800;8146
71900;7515
72000;8277
72100;7427
72200;8059
72300;7979
72400;8352
72500;7848
72600;7724
72700;7846
72800;7369
72900;8342
73000;7003
73100;8599
73200;8135
73300;6276
73400;7825
73500;8366
73600;776
73700;8169
73800;7079
73900;7688
74000;7299
74100;7901
74200;7755
74300;7532
74400;8101
74500;8227
74600;6871
74700;721
74800;7468
74900;8104
75000;8032
75100;7732
75200;8752
75300;8104
75400;7921
75500;8677
75600;8629
75700;8516
75800;8256
75900;7056
76000;7855
76100;898
76200;8176
76300;7413
76400;8754
76500;8926
76600;7633
76700;8467
76800;8793
76900;8805
77000;7947
77100;7204
77200;8275
77300;8349
77400;7589
77500;9406
77600;7921
77700;8005
77800;7596
77900;8568
