Array Size;Time
500;1
600;124
700;152
800;203
900;276
1000;229
1100;315
1200;283
1300;317
1400;347
1500;379
1600;413
1700;443
1800;481
1900;521
2000;52
2100;549
2200;583
2300;615
2400;641
2500;702
2600;698
2700;725
2800;76
2900;793
3000;833
3100;863
3200;899
3300;981
3400;985
3500;1025
3600;1063
3700;1095
3800;114
3900;1147
4000;1156
4100;119
4200;1219
4300;1231
4400;1261
4500;1302
4600;1336
4700;1367
4800;14
4900;143
5000;1625
5100;154
5200;1567
5300;1605
5400;164
5500;1677
5600;1713
5700;1755
5800;1787
5900;1831
6000;1866
6100;1903
6200;194
6300;198
6400;2225
6500;2015
6600;2049
6700;2093
6800;2124
6900;2168
7000;2251
7100;2279
7200;2322
7300;2366
7400;2418
7500;2462
7600;2601
7700;2477
7800;2472
7900;246
8000;2481
8100;2578
8200;2607
8300;2646
8400;2689
8500;2722
8600;2764
8700;2794
8800;2834
8900;2866
9000;2918
9100;294
9200;2976
9300;3023
9400;3052
9500;3096
9600;3124
9700;3164
9800;3208
9900;3244
10000;3283
10100;3327
10200;3359
10300;3397
10400;3435
10500;34
10600;352
10700;3519
10800;3512
10900;3655
11000;3684
11100;3719
11200;3771
11300;3782
11400;4524
11500;3733
11600;3796
11700;3961
11800;3995
11900;4049
12000;4087
12100;4091
12200;4128
12300;4154
12400;4224
12500;4294
12600;4317
12700;4354
12800;4351
12900;436
13000;4461
13100;4454
13200;4563
13300;4598
13400;4652
13500;4675
13600;4708
13700;477
13800;4822
13900;487
14000;4895
14100;4953
14200;4931
14300;4977
14400;5155
14500;5153
14600;5185
14700;5229
14800;5259
14900;5189
15000;5351
15100;5391999999
15200;5451
15300;5494
15400;5446
15500;5429
15600;5445
15700;5506
15800;5489
15900;5503
16000;5534
16100;548
16200;5508
16300;5657
16400;5696
16500;5734
16600;57
16700;5736
16800;5803
16900;5892
17000;5937
17100;5972
17200;5933
17300;5969
17400;6116
17500;6129
17600;6147
17700;6208
17800;6234
17900;6284
18000;6347
18100;6346
18200;6385
18300;6413
18400;6466
18500;6522
18600;6448
18700;6469
18800;6639
18900;6665
19000;6755
19100;6662
19200;6736
19300;6848
19400;6893
19500;6973
19600;6903
19700;6942
19800;7043
19900;7099
20000;7021
20100;6945
20200;7038
20300;7257
20400;732
20500;7258
20600;7269
20700;7425
20800;7472
20900;7484
21000;7601
21100;7458
21200;7606
21300;7646
21400;7698
21500;7739
21600;7761
21700;7817
21800;7837
21900;793
22000;7827
22100;7991
22200;8012
22300;7893
22400;8061
22500;8142
22600;8198
22700;8166
22800;8195
22900;8305
23000;8395
23100;8331
23200;8422
23300;8462
23400;851
23500;853
23600;8506
23700;8673
23800;8719
23900;8736
24000;8668
24100;8837
24200;8952
24300;8985
24400;9038
24500;9043
24600;9083
24700;9104
24800;8997
24900;9044
25000;9076
25100;9369
25200;9352
25300;9277
25400;9283
25500;9495
25600;9522
25700;9432
25800;9465
25900;9676
26000;9664
26100;9708
26200;976
26300;9787
26400;10191
26500;9754
26600;992
26700;9976
26800;9914
26900;9937
27000;10104
27100;10136
27200;101
27300;10232
27400;1028
27500;10233
27600;10318
27700;1045
27800;10302
27900;10387
28000;10581
28100;10599
28200;10485
28300;1068
28400;10766
28500;1067
28600;10767
28700;10908
28800;10777
28900;10833
29000;11074
29100;11134
29200;10986
29300;11179
29400;11199
29500;11137
29600;11367
29700;1138
29800;1125
29900;11468
30000;11503
30100;11562
30200;11607
30300;11611
30400;11692
30500;11683
30600;1175
30700;11695
30800;11673
30900;11639
31000;11806
31100;1181199999
31200;11644
31300;11704
31400;1181
31500;1167
31600;11688
31700;11811
