Array Size;Time
500;99
600;129
700;163
800;201
900;242
1000;218
1100;249
1200;283
1300;317
1400;354
1500;395
1600;435
1700;474
1800;521
1900;563
2000;476
2100;509
2200;542
2300;576
2400;611
2500;647
2600;684
2700;723
2800;763
2900;802
3000;842
3100;885
3200;929
3300;972
3400;1014
3500;1059
3600;1106
3700;1152
3800;1199
3900;1126
4000;1027
4100;1062
4200;1097
4300;1133
4400;1166
4500;1203
4600;124
4700;1279
4800;1316
4900;1356
5000;1391
5100;1432
5200;147
5300;1511
5400;1548
5500;1589
5600;1631
5700;1671
5800;1715
5900;1761
6000;1799
6100;1974
6200;1856
6300;1889
6400;1937
6500;1978
6600;2019
6700;2068
6800;2116
6900;2157
7000;2247
7100;23
7200;2351
7300;2398
7400;2446
7500;25
7600;2545
7700;2554
7800;2393
7900;2318
8000;2169
8100;2192
8200;2233
8300;2269
8400;2301
8500;2352
8600;2427
8700;2469
8800;2506
8900;2548
9000;2579
9100;2612
9200;2654
9300;2692
9400;2676
9500;2837
9600;2763
9700;2801
9800;2835
9900;2877
10000;2912
10100;3016
10200;305
10300;3094
10400;3138
10500;3175
10600;3222
10700;3188
10800;3334
10900;3282
11000;3357
11100;3378
11200;341
11300;3519
11400;3576
11500;3619
11600;367
11700;3695
11800;3752
11900;379
12000;3835
12100;3884
12200;3928
12300;3979
12400;4006
12500;4055
12600;4109
12700;417
12800;4117
12900;4391
13000;4241
13100;4255
13200;438
13300;4439
13400;4474
13500;4535
13600;4574
13700;4501
13800;4958
13900;4536
14000;4585
14100;4826
14200;488
14300;4931
14400;4975
14500;4949
14600;5037
14700;5082
14800;5123
14900;5251
15000;5303
15100;5349
15200;5394
15300;5353
15400;5483
15500;5161
15600;5111
15700;4974
15800;4805
15900;4713
16000;4687
16100;4718
16200;4828
16300;4809
16400;4894
16500;4935
16600;4979
16700;5002
16800;4977
16900;5025
17000;514
17100;5087
17200;5208
17300;5232
17400;5285
17500;5308
17600;5271
17700;5272
17800;5412
17900;5467
18000;5506
18100;5541
18200;5593
18300;5549
18400;5601
18500;5857
18600;5756
18700;5798
18800;5845
18900;5887
19000;5847
19100;5888
19200;6156
19300;6033
19400;6095
19500;6119
19600;6175
19700;6083
19800;6233
19900;6338
20000;6346
20100;6381
20200;6406
20300;6389
20400;6469
20500;6641999999
20600;6599
20700;665
20800;671
20900;6636
21000;6678
21100;6824
21200;6862
21300;6921
21400;697
21500;6999
21600;7038
21700;7203
21800;7011
21900;7026
22000;721
22100;726
22200;7334
22300;7224
22400;7316
22500;7433
22600;7477
22700;7512
22800;7548
22900;7489
23000;7621
23100;7728
23200;7741
23300;7825
23400;7697
23500;7824
23600;794
23700;798
23800;7928
23900;7952
