Array Size;Time
500;6
600;7
700;9
800;34
900;12
1000;13
1100;14
1200;67
1300;17
1400;19
1500;2
1600;64
1700;23
1800;24
1900;68
2000;26
2100;27
2200;28
2300;29
2400;3
2500;32
2600;34
2700;207
2800;39
2900;4
3000;41
3100;107
3200;43
3300;52
3400;125
3500;198
3600;279
3700;165
3800;5
3900;51
4000;221
4100;184
4200;55
4300;56
4400;57
4500;58
4600;59
4700;143
4800;61
4900;62
5000;27
5100;64
5200;238
5300;73
5400;3
5500;77
5600;219
5700;8
5800;81
5900;131
6000;151
6100;314
6200;222
6300;86
6400;87
6500;147
6600;9
6700;563
6800;505
6900;369
7000;435
7100;514
7200;416
7300;438
7400;465
7500;101
7600;472
7700;282
7800;267
7900;625
8000;188
8100;474
8200;41
8300;256
8400;308
8500;202
8600;367
8700;141
8800;112
8900;418
9000;758
9100;812
9200;116
9300;403
9400;65
9500;643
9600;513
9700;67
9800;123
9900;602
10000;125
10100;747
10200;597
10300;85
10400;85
10500;536
10600;604
10700;706
10800;985
10900;812
11000;609
11100;303
11200;157
11300;158
11400;759
11500;646
11600;708
11700;507
11800;279
11900;842
12000;1014
12100;661
12200;564
12300;523
12400;902
12500;171
12600;765
12700;75
12800;737
12900;978
13000;177
13100;178
13200;873
13300;518
13400;121
13500;892
13600;559
13700;1165
13800;184
13900;1214
14000;1045
14100;203
14200;1256
14300;82
14400;1037
14500;1087
14600;875
14700;1133
14800;539
14900;756
15000;1194
15100;1198
15200;1057
15300;1285
15400;1506
15500;515
15600;919
15700;1046
15800;1074
15900;966
16000;548
16100;674
16200;1215
16300;1162
16400;905
16500;1018
16600;665
16700;974
16800;829
16900;263
17000;1069
17100;533
17200;1124
17300;1256
17400;1287
17500;1301
17600;1212999999
17700;1166
17800;1239
17900;1375
18000;1021
18100;968
18200;1178
18300;1346
18400;308
18500;1396
18600;985
18700;235
18800;612
18900;1154
19000;1106
19100;1401
19200;148
19300;884
19400;1335
19500;1344
19600;525
19700;1391
19800;1231
19900;1583
20000;1477
20100;733
20200;1484
20300;1393
20400;1169
20500;1311
20600;1509
20700;1835
20800;1779
20900;1141
21000;1854
21100;1482
21200;1868
21300;1793
21400;1581
21500;1615
21600;153
21700;1143
21800;1461
21900;1468
22000;31
22100;1694
22200;1709
22300;1051
22400;1233
22500;315
22600;1425
22700;147
22800;951
22900;2033
23000;464
23100;2057
23200;1542
23300;1709
23400;972
23500;1508
23600;2438
23700;1936
23800;212
23900;2062
24000;1794
24100;2437
24200;1282
24300;2222
24400;2312
24500;219
24600;1973
24700;1901
24800;1813
24900;2551
25000;2489
25100;1901
25200;1131
25300;2445
25400;1629
25500;2735
25600;2372
25700;1571
25800;1563
25900;239
26000;1768
26100;2105
26200;2539
26300;1973
26400;1563
26500;2469
26600;199
26700;1392
26800;2037
26900;2339
27000;2436
27100;2388
27200;419
27300;1075
27400;212
27500;1402
27600;2742
27700;259
27800;1919
27900;2397
28000;2494
28100;2266
28200;2427
28300;287
28400;2401
28500;2658
28600;1921
28700;3015
28800;3051
28900;2548
29000;2934
29100;2024
29200;2646
29300;206
29400;2737
29500;2238
29600;2208
29700;1616
29800;2391
29900;2712
30000;2475
30100;2532
30200;2625
30300;2674
30400;208
30500;2692
30600;2157
30700;2468
30800;2755
30900;2309
31000;2498
31100;3412
31200;2883
31300;2406
31400;3161
31500;1965
31600;2577
31700;3022
31800;2293
31900;2911
32000;3278
32100;2918
32200;1541
32300;2646
32400;2378
32500;3186
32600;3142
32700;2647
32800;3607
32900;3175
33000;2906
33100;2598
33200;3004
33300;2755
33400;3638999999
33500;3079
33600;2822
33700;3018
33800;3225
33900;3272
34000;3196
34100;3259
34200;2219
34300;2627
34400;3678
34500;2811
34600;2951
34700;3163
34800;2582
34900;3442
35000;3074
35100;2717
35200;3147
35300;3482
35400;3320999999
35500;3502
35600;2966
35700;2796
35800;3015
35900;2803
36000;2379
36100;2186
36200;2865
36300;3254
36400;299
36500;3335
36600;345
36700;2995
36800;249
36900;2744
37000;312
37100;3469
37200;3324
37300;3739
37400;1614
37500;312
37600;3134
37700;3493
37800;2552
37900;3771
38000;3486
38100;1766
38200;3128
38300;3292
38400;2518
38500;3789
38600;3817
38700;4215
38800;3185
38900;3903
39000;3311
39100;3863
39200;3156
39300;3806
39400;3643
39500;3264
39600;3977
39700;4029
39800;4032
39900;4342
40000;32
40100;309
40200;3448
40300;3847
40400;3425
40500;3696
40600;3907
40700;3533
40800;3803
40900;3844
41000;3959
41100;3978
41200;4221
41300;4016
41400;4674
41500;3948
41600;4358
41700;3806
41800;3724
41900;3513
42000;4362
42100;3778
42200;4018
42300;4113
42400;4299
42500;3514
42600;4232
42700;467
42800;3449
42900;4253
43000;199
43100;4389
43200;4126
43300;3364
43400;3719
43500;4305
43600;4194
43700;4592
43800;4293
43900;4483
44000;5298
44100;3542
44200;3641
44300;4235
44400;4507
44500;4277
44600;375
44700;3648
44800;4215
44900;4576
45000;4991
45100;4136
45200;4428
45300;4429
45400;4308
45500;4356
45600;408
45700;4161
45800;4873
45900;4748
46000;4325
46100;4348
46200;4551
46300;4875
46400;466
46500;3751
46600;4765
46700;4477
46800;4907
46900;4525
47000;4261
47100;4192
47200;5114
47300;4095
47400;4234
47500;455
47600;4457
47700;447
47800;4164
47900;3518
48000;4632
48100;4156
48200;4148
48300;4315
48400;3574
48500;4653
48600;4608
48700;5275
48800;558
48900;4942
49000;4655
49100;4201
49200;471
49300;4616
49400;5797
49500;4897
49600;4216
49700;435
49800;5422
49900;4587
50000;5013
50100;3907
50200;4976
50300;386
50400;4652
50500;5212
50600;4783
50700;5163
50800;5809
50900;5003
51000;4376
51100;456
51200;4665
51300;5025
51400;5307
51500;4892
51600;4855
51700;4923
51800;3906
51900;5505
52000;4507
52100;5026
52200;517
52300;4695
52400;5603
52500;5185
52600;4952
52700;5612
52800;4379
52900;5166
53000;5487
53100;6026
53200;4977
53300;5732
53400;5853
53500;5526
53600;4267
53700;5531
53800;5386
53900;5546
54000;5394
54100;6188
54200;5297
54300;4399
54400;5971
54500;4117
54600;6384
54700;5138
54800;5501
54900;4523
55000;6185
55100;4937
55200;5769
55300;6123
55400;4361
55500;5472
55600;6286
55700;5029
55800;5866
55900;5911
56000;3833
56100;4019
56200;5961
56300;4738
56400;5663
56500;5017
56600;5583
56700;6395
56800;4977
56900;5451
57000;5838
57100;5363
57200;5627
57300;5867
57400;4934
57500;6092
57600;6195
57700;5919
57800;4522
57900;5782
58000;5614
58100;6066
58200;535
58300;6287
58400;423
58500;6636
58600;5089
58700;6193
58800;6434
58900;5783999999
59000;5768
59100;6024
59200;725
59300;6018
59400;4912
59500;5146
59600;6312
59700;6315
59800;5706
59900;6358
60000;5808
60100;6083
60200;6373
60300;6343
60400;6637
60500;5446
60600;5894
60700;6744
60800;6227
60900;5246
61000;6558
61100;6412
61200;6219
61300;6537
61400;5467
61500;6541
61600;7177
61700;6049
61800;5534
61900;7163
62000;6646
62100;7026
62200;6047
62300;6482
62400;6696
62500;634
62600;6219
62700;7035
62800;5653
62900;6097
63000;7058
63100;6009
63200;6039
63300;6303
63400;674
63500;7505
63600;6841
63700;6114
63800;5939
63900;7154
64000;7404
64100;652
64200;7675
64300;6407
64400;7292
64500;7425
64600;7393
64700;6925
64800;798
64900;7264
65000;7428
65100;6611
65200;6241
65300;5462
65400;7192999999
65500;6867
65600;7225
65700;7594
65800;6556
65900;684
66000;6675
66100;7059
66200;5914
66300;558
66400;6755
66500;6816
66600;6468
66700;5516
66800;645
66900;6911
67000;6859
67100;6992
67200;7409
67300;6633
67400;7597
67500;7121
67600;7082
67700;6844
67800;7421
67900;7329
68000;7161
68100;7296
68200;7659
68300;7613
68400;6907
68500;7295
68600;6739
68700;6232
68800;7557
68900;7147
69000;7622
69100;7561
69200;6688
69300;6898
69400;8257
69500;7742
69600;6818
69700;7073
69800;8188
69900;8092
70000;7647
70100;7299
70200;7654
70300;6865
70400;6845
70500;7313
70600;7631
70700;7599
70800;6749
70900;7262
71000;7829
71100;8416
71200;8092
71300;7203
71400;7585
71500;7786
71600;7434
71700;7825
71800;7131
71900;8351
72000;7183
72100;7679
72200;793
72300;7092
72400;8897
72500;7694
72600;7534
72700;8445
72800;5671
72900;7001
73000;7311
73100;7716
73200;8178
73300;7758
73400;7585
73500;8268
73600;789
73700;7523
73800;8423
73900;7687
74000;7457
74100;7163
74200;8369
74300;7944
74400;6682
74500;7647
74600;8085
74700;785
74800;7016
74900;7486
75000;7213
75100;8071
75200;8575
75300;804
75400;8285
75500;8435
75600;7418
75700;8854
75800;7789
75900;8101
76000;7534
76100;8627
76200;9127
76300;8347
76400;8087
76500;8015
76600;807
76700;8942
76800;7653
76900;8468
77000;6365
77100;918
77200;8496
77300;7769
77400;8547
77500;8255
