Array Size;Time
500;101
600;126
700;153
800;177
900;205
1000;233
1100;263
1200;288
1300;32
1400;346
1500;375
1600;404
1700;435
1800;463
1900;49
2000;529
2100;587
2200;585
2300;616
2400;649
2500;68
2600;713
2700;743
2800;773
2900;805
3000;836
3100;867
3200;901
3300;93
3400;964
3500;997
3600;1024
3700;1059
3800;1102
3900;1132
4000;1161
4100;1196
4200;1228
4300;1261
4400;1295
4500;1327
4600;1362
4700;1399
4800;1443
4900;1811
5000;2537
5100;2299
5200;2013
5300;1619
5400;2235
5500;1962
5600;1857
5700;1745
5800;2382
5900;1826
6000;1847
6100;1879
6200;1913
6300;1951
6400;1994
6500;2008
6600;2053
6700;2082
6800;2116
6900;215
7000;2189
7100;2219
7200;2272
7300;2301
7400;2339
7500;2379
7600;2399
7700;2438
7800;2472
7900;251
8000;2544
8100;2591
8200;2617
8300;2667
8400;2706
8500;2754
8600;2763
8700;2797
8800;2831
8900;2878
9000;2909
9100;2962
9200;2986
9300;3033
9400;2997
9500;304
9600;3308
9700;3122
9800;3222
9900;3263
10000;3293
10100;3331
10200;336
10300;3398
10400;3447
10500;3484
10600;3511
10700;3556
10800;3581
10900;3622
11000;3662
11100;3626
11200;3661
11300;3773
11400;3813
11500;3867
11600;3887
11700;3969
11800;397
11900;4231
12000;3995
12100;408
12200;4143
12300;4139
12400;4171
12500;4213
12600;4151
12700;4233
12800;4219
12900;4428
13000;4435
13100;4427
13200;4464
13300;4424
13400;4549
13500;4506
13600;4609
13700;4654
13800;4689
13900;4724
14000;4772
14100;4809
14200;4844
14300;4887
14400;4921
14500;4959
14600;515
14700;5099
14800;5117
14900;515
15000;5155
15100;5227
15200;5239
15300;528
15400;5308
15500;5332
15600;5377
15700;5416
15800;5462
15900;5505
16000;5549
16100;5577
16200;5694
16300;562
16400;5706
16500;5742
16600;5771
16700;5806
16800;5862
16900;5944
17000;5953
17100;5993
17200;6005
17300;6128
17400;6133
17500;6161
17600;62
17700;6249
17800;6259
17900;6507
18000;63
18100;6374
18200;6541
18300;6623
18400;6533
18500;6526
18600;6569
18700;6636
18800;662
18900;6878
19000;6648
19100;6801
19200;6853
19300;6957
19400;7031
19500;6962
19600;7003
19700;7089
19800;7065
19900;7101
20000;7174
20100;723
20200;7274
20300;7295
20400;7295
20500;7386
20600;7547
20700;7651
20800;7515
20900;7669
21000;7551
21100;7579
21200;7737
21300;8116
21400;7749
21500;7864
21600;7864
21700;7963
21800;7863
21900;7916
22000;8087999999
22100;809
22200;8016
22300;8037
22400;8096
22500;8109
22600;8219
22700;8242
22800;8348
22900;8346
23000;832
23100;8431
23200;8489
23300;8505
23400;8591
23500;8813
23600;8566
23700;864
23800;8653
23900;8738
24000;8821
24100;8924
24200;8837
24300;9032
24400;885
24500;9104
24600;9023
24700;9248
24800;8921
24900;9055
25000;9081
25100;8996
25200;9092
25300;9204
25400;9275
25500;9374
25600;9349
25700;9506
25800;9484
25900;941
26000;9522
26100;9542
26200;9558
26300;9629
26400;9642
26500;9689
26600;9648
26700;9755
26800;9799
26900;9732
27000;9791
27100;993
27200;996
27300;9846
27400;10125
27500;10095
27600;10074
27700;10116
27800;10245
27900;10288
28000;10201
28100;10323
28200;1024
28300;10407
28400;1045
28500;1045
28600;10494
28700;10608
28800;10593
28900;10546
29000;10712
29100;1076
29200;10605
29300;10916
29400;10916
29500;10953
29600;10932
29700;10992
29800;1089
29900;10915
30000;11109
30100;11164
30200;11195
30300;11209
30400;11252
30500;11169
30600;11367
30700;11363
30800;11386
30900;11527
31000;11541
31100;11602
31200;11631
31300;11655
31400;11587
31500;11727
31600;11767
31700;11789
31800;11858
31900;11879
32000;11754
32100;11979
32200;12019
32300;11946
32400;12106
32500;122
32600;12051
32700;12335
32800;12169
32900;12404
33000;12339
33100;12253
33200;12473
33300;12397
33400;12261
33500;12705
33600;12715
33700;12603
33800;12683
33900;12649
34000;1276
34100;12802
34200;12662
34300;12961
34400;1297
34500;12882
34600;1304
34700;12999
34800;12935
34900;13155
35000;12869
35100;13221
35200;13285
35300;13046
35400;13378
35500;13327
35600;13278
35700;13543
35800;13363
35900;13622
36000;13639
36100;13381
36200;13663
36300;1363
36400;13463
36500;13794
36600;13646
36700;13696
36800;13746
36900;13968
37000;13929
37100;14067
37200;14091
37300;13961
37400;14216
37500;14257
37600;14231
37700;14319
37800;14244
37900;14457
38000;14491
38100;1442
38200;14572
38300;1465
38400;14664
38500;14706
38600;14876
38700;14791
38800;14655
38900;14869
39000;1477
39100;14841
39200;14997
39300;14871
39400;15048
39500;14913
39600;15211
39700;15256
39800;15269
39900;15287
40000;15114
40100;15429
40200;15434
40300;15496
40400;15537
40500;15331
40600;15609
40700;15395
40800;15601
40900;15627
41000;1587
41100;15783
41200;15828
41300;15888
41400;1594
41500;15975
41600;16105
41700;16231
41800;16067
41900;16113
42000;15997
42100;16196
