Array Size;Time
500;1
600;13
700;136
800;162
900;189
1000;218
1100;25
1200;283
1300;303
1400;307
1500;327
1600;355
1700;383
1800;413
1900;444
2000;476
2100;51
2200;544
2300;577
2400;614
2500;652
2600;659
2700;626
2800;655
2900;687
3000;714
3100;744
3200;773
3300;808
3400;841
3500;873
3600;907
3700;94
3800;971
3900;1004
4000;1043
4100;1064
4200;1098
4300;1134
4400;117
4500;1204
4600;1243
4700;1282
4800;1319
4900;1357
5000;1395
5100;1434
5200;1411
5300;1371
5400;1348
5500;138
5600;1409
5700;1438
5800;145
5900;154
6000;1502
6100;157
6200;1564
6300;1638
6400;1629
6500;1661
6600;1769
6700;2091
6800;1814
6900;1826
7000;186
7100;1895
7200;1931
7300;1963
7400;1996
7500;2032
7600;2069
7700;2105
7800;2139
7900;2177
8000;2211
8100;2247
8200;2283
8300;232
8400;2365
8500;2393
8600;2434
8700;2469
8800;2512
8900;2544
9000;2581
9100;2621
9200;2664
9300;2699
9400;2741
9500;2791
9600;2821
9700;2869
9800;2917
9900;2936
10000;2982
10100;3022
10200;3069
10300;3063
10400;3028
10500;2997
10600;2968
10700;2919
10800;2922
10900;2962
11000;2991
11100;3032
11200;3062
11300;3259
11400;3122
11500;3147
11600;3188
11700;3233
11800;3265
11900;3277
12000;3316
12100;3354
12200;3387
12300;3415
12400;3463
12500;3548
12600;349
12700;3475
12800;351
12900;355
13000;3589
13100;3681
13200;3719
13300;3761
13400;3795
13500;3837
13600;4102
13700;3834
13800;3911
13900;3877
14000;3962
14100;4043
14200;4078
14300;4123
14400;4164
14500;419
14600;4227
14700;4227
14800;4204
14900;4239
15000;4411
15100;4401
15200;4453
15300;4466
15400;4519
15500;4521
15600;458
15700;4528
15800;4621
15900;4697
16000;4761
16100;4772
16200;481
16300;4745
16400;5038
16500;4881
16600;492
16700;5002
16800;5055
16900;5095
17000;5267
17100;5242
17200;5523
17300;5348
17400;5277
17500;5324
17600;539
17700;5402
17800;5391
17900;5587999999
18000;563
18100;5554
18200;563
18300;5695
18400;5696
18500;5814
18600;5909
18700;5877
18800;5909
18900;6007
19000;5967
19100;5962
19200;5949
19300;609
19400;6085
19500;6165
19600;6212999999
19700;622
19800;6202
19900;6273
20000;6471
20100;6402
20200;6444
20300;6477
20400;6397
20500;6449
20600;6547
20700;6501
20800;6474
20900;6434
21000;6532
21100;6261
21200;6552
21300;6282
21400;6264
21500;6227
21600;6142
21700;6254
21800;6299
21900;6356
22000;6404
22100;6427
22200;6598
22300;6464
22400;6489
22500;6617
22600;6594
22700;6639
22800;667
22900;6718
23000;6746
23100;6783
23200;6808
23300;6843
23400;6882
23500;6936
23600;6959
23700;7128
23800;7151
23900;7057
24000;7092
24100;7138
24200;7171
24300;7213
24400;7246
24500;7285
24600;7306
24700;7331
24800;7462999999
24900;7295
25000;7451
25100;7491
25200;7521
25300;7642
25400;753
25500;7631
25600;7661
25700;7732
25800;7707
25900;7672
26000;7803
26100;788
26200;79
26300;7865
26400;8226
26500;7992
26600;807
26700;8055
26800;8009
26900;8069
27000;8152
27100;8203
27200;8253
27300;8279
27400;8333
27500;8386
27600;843
27700;845
27800;8435
27900;845
28000;859
28100;864
28200;8622
28300;866
28400;8822
28500;8752
28600;8831
28700;8772
28800;9424
28900;8939
29000;9132
29100;9209
29200;9084
29300;9049
29400;9065
29500;9121
29600;9166
29700;9214
29800;927
29900;9497
30000;9484
30100;9497
30200;9614
30300;9484
30400;9477
30500;9522
30600;9566
30700;9593
30800;9626
30900;9878
31000;9877
31100;9787
31200;9838
31300;9849
31400;9888
31500;9888
31600;9928
31700;9977
31800;10045
31900;9948
32000;10107
32100;10154
32200;10735
32300;10396
32400;10352
32500;10341
32600;11321
32700;10444
32800;11009
32900;10977
33000;10919
33100;10675
33200;10606
33300;1064699999
33400;10675
33500;11882
33600;11052
33700;1085
33800;10867
33900;10946
34000;10922
34100;10945
34200;1099
34300;11033
34400;11096
34500;11127
34600;11209
34700;11251
34800;11287
34900;11287
35000;11174
35100;11279
35200;11503
35300;11632
35400;11651
35500;11668
35600;11711
35700;11646
35800;1169
35900;11738
36000;11764
36100;11813
36200;1183
36300;11923
36400;11946
36500;11963
36600;11995
36700;12046
36800;12083
36900;12117
37000;12158
37100;12178
37200;12122
37300;12317
37400;12345
37500;12623
37600;12529
37700;12708
37800;12502
37900;12572
38000;1266
38100;12708
38200;12728
38300;12736
38400;12647
