Size;Time
500;53600
600;62800
700;79500
800;85400
900;101400
1000;118200
1100;128700
1200;143100
1300;157100
1400;166900
1500;176600
1600;189100
1700;213800
1800;210100
1900;226300
2000;250100
2100;292400
2200;292900
2300;300100
2400;304500
2500;317600
2600;327900
2700;351200
2800;353900
2900;358900
3000;420700
3100;402900
3200;420300
3300;443600
3400;465200
3500;445600
3600;478400
3700;519200
3800;526800
3900;526100
4000;556900
4100;571100
4200;564800
4300;619000
4400;617800
4500;660900
4600;633800
4700;710100
4800;726200
4900;694800
5000;753100
5100;686000
5200;712300
5300;746600
5400;746900
5500;795300
5600;823500
5700;845800
5800;830300
5900;871000
6000;877900
6100;933200
6200;898600
6300;894400
6400;963500
6500;989500
6600;968300
6700;967500
6800;1010600
6900;1028400
7000;1041300
7100;1169000
7200;1057400
7300;1050400
7400;1080900
7500;1128800
7600;1188000
7700;1219000
7800;1168800
7900;1219100
8000;1244200
8100;1179500
8200;1209200
8300;1312700
8400;1270500
8500;1370200
8600;1260200
8700;1310100
8800;1397200
8900;1340400
9000;1306200
9100;1340300
9200;1392400
9300;1353500
9400;1378500
9500;1542400
9600;1482500
9700;1485300
9800;1604300
9900;1498800
10000;1563800
10100;1631900
10200;1562100
10300;1510600
10400;1544700
10500;1734600
10600;1599000
10700;1604800
10800;1674500
10900;1613900
11000;1745700
11100;1821800
11200;1754100
11300;1733100
11400;1858600
11500;1814800
11600;1844200
11700;1801100
11800;1893500
11900;1922100
12000;1891400
12100;1886700
12200;1842300
12300;1899200
12400;1890500
12500;1912700
12600;2024500
12700;1975200
12800;1988500
12900;1986300
13000;2069300
13100;2044400
13200;2103600
13300;2182300
13400;2171400
13500;2254700
13600;2137500
13700;2151300
13800;2177800
13900;2200300
14000;2320500
14100;2355700
14200;2284200
14300;2241200
14400;2265300
14500;2335400
14600;2405200
14700;2341200
14800;2406000
14900;2407300
15000;2436900
15100;2422400
15200;2470100
15300;2452100
15400;2533200
15500;2486400
15600;2467100
15700;2531000
15800;2451800
15900;2575500
16000;2576900
16100;2581600
16200;2573200
16300;2657200
16400;2668200
16500;2731200
16600;2679200
16700;2758400
16800;2721100
16900;2709100
17000;2926000
17100;2793900
17200;2779000
17300;2822300
17400;2899200
17500;3040600
17600;3092300
17700;2915900
17800;2842800
17900;2907500
18000;2819900
18100;3160300
18200;3079400
18300;3058900
18400;3000700
18500;3039800
18600;3025800
18700;3175500
18800;3194400
18900;3232500
19000;3211300
19100;3235400
19200;3219600
19300;3092000
19400;3029000
19500;3171200
19600;3339700
19700;3231700
19800;3290400
19900;3168200
20000;3374100
20100;3230300
20200;3549900
20300;3512400
20400;3347600
20500;3523900
20600;3461800
20700;3402900
20800;3494800
20900;3585200
21000;3637800
21100;3775800
21200;3453300
21300;3613700
21400;3582400
21500;3479800
21600;3650000
21700;3609500
21800;3517600
21900;3661000
22000;3574800
22100;3659900
22200;3718700
22300;3829700
22400;3749400
22500;3821100
22600;3745600
22700;3848500
22800;4075300
22900;3721500
23000;3882200
23100;3874600
23200;3933500
23300;3886100
23400;3812200
23500;3907700
23600;3895100
23700;3948300
23800;3963100
23900;4051000
24000;4158100
24100;4109300
24200;4116600
24300;4176700
24400;4202300
24500;4267400
24600;4221000
24700;4127000
24800;4162300
24900;4162200
25000;4236500
25100;4407900
25200;4176600
25300;4244100
25400;4315900
25500;4316900
25600;4393800
25700;4562900
25800;4361000
25900;4410000
26000;4497600
26100;4553100
26200;4450800
26300;4699100
26400;4362300
26500;4483100
26600;4504200
26700;4648000
26800;4697900
26900;4750700
27000;4424500
27100;4687600
