Size;Time
500;76400
600;93400
700;111900
800;130800
900;151200
1000;165000
1100;188700
1200;204700
1300;220500
1400;243200
1500;266800
1600;272200
1700;365100
1800;331200
1900;340400
2000;365500
2100;382700
2200;409600
2300;434800
2400;440800
2500;476400
2600;488200
2700;507500
2800;554600
2900;556400
3000;586700
3100;599700
3200;634400
3300;651600
3400;691400
3500;680200
3600;705100
3700;732100
3800;774100
3900;778500
4000;798700
4100;887400
4200;851000
4300;858500
4400;873500
4500;908100
4600;1020400
4700;981400
4800;960100
4900;1126600
5000;1016700
5100;1050700
5200;1120400
5300;1104600
5400;1087600
5500;1132800
5600;1169400
5700;1175200
5800;1186600
5900;1229100
6000;1244900
6100;1217000
6200;1306200
6300;1288700
6400;1286200
6500;1341500
6600;1398500
6700;1388800
6800;1449800
6900;1425200
7000;1457000
7100;1511500
7200;1602600
7300;1529800
7400;1612700
7500;1615400
7600;1640500
7700;1626000
7800;1657600
7900;1674500
8000;1717300
8100;1741500
8200;1752100
8300;1788700
8400;1837800
8500;1815700
8600;1887500
8700;1851700
8800;1918600
8900;1943300
9000;1971600
9100;1999900
9200;2103500
9300;2073600
9400;2043400
9500;2010900
9600;2113100
9700;2152100
9800;2141700
9900;2191300
10000;2141000
10100;2241800
10200;2219100
10300;2194500
10400;2307800
10500;2381600
10600;2342300
10700;2330700
10800;2435900
10900;2469600
11000;2457700
11100;2568200
11200;2478500
11300;2537500
11400;2535900
11500;2732700
11600;2704900
11700;2623200
11800;2648800
11900;2708800
12000;2699600
12100;2840800
12200;2804700
12300;2770800
12400;2765200
12500;2841800
12600;3076700
12700;2960200
12800;2925700
12900;2951600
13000;2877700
13100;3018100
13200;2946400
13300;3025400
13400;3143200
13500;3064600
13600;3064100
13700;3042800
13800;3143300
13900;3103500
14000;3186500
14100;3173800
14200;3442300
14300;3329500
14400;3338500
14500;3429100
14600;3389700
14700;3262900
14800;3356600
14900;3478000
15000;3460400
15100;3633700
15200;3439100
15300;3638300
15400;3514000
15500;3465500
15600;3643300
15700;3450500
15800;3668600
15900;3634200
16000;3657500
16100;3749900
16200;3782800
16300;3837500
16400;3893200
16500;3906400
16600;3853700
16700;3898800
16800;4192100
16900;3881700
17000;3917800
17100;3908200
17200;4032200
17300;3990000
17400;4104800
17500;4149000
17600;4145400
17700;4118100
17800;4309500
17900;4094800
18000;4151400
18100;4231600
18200;4298700
18300;4155300
18400;4303400
18500;4298600
18600;4262900
18700;4337800
18800;4433400
18900;4472800
19000;4528100
19100;4435800
19200;4569500
19300;4486000
19400;4639300
19500;4731900
19600;4622700
19700;4578600
19800;4898200
19900;4717900
20000;4667400
20100;4881000
20200;4648500
20300;4838000
20400;5011700
20500;4896400
20600;4959400
20700;4841500
20800;5098100
20900;5102200
21000;4912200
21100;5006500
21200;4936900
21300;5090600
21400;5248300
21500;5220200
21600;5405000
21700;5041100
21800;4970900
21900;5296100
22000;5236600
22100;5253400
22200;5222700
22300;5420200
22400;5408000
22500;5271000
22600;5395300
22700;5603900
22800;5401500
22900;5354500
23000;5493500
23100;5429500
23200;5632800
23300;5566800
23400;5718600
23500;5603300
23600;5646800
23700;5618300
23800;5718200
23900;5653800
24000;5779000
24100;5868100
24200;5800300
