Size;Time
500;69400
600;84000
700;104700
800;125900
900;238700
1000;152700
1100;163100
1200;184500
1300;197700
1400;232600
1500;237100
1600;247800
1700;262600
1800;288200
1900;307900
2000;325900
2100;332900
2200;368100
2300;380800
2400;394900
2500;417600
2600;430400
2700;439000
2800;469300
2900;514000
3000;499800
3100;528500
3200;560300
3300;569400
3400;587600
3500;618900
3600;622300
3700;637600
3800;658600
3900;677600
4000;710000
4100;700000
4200;718800
4300;771700
4400;778100
4500;822000
4600;831500
4700;849600
4800;860900
4900;878800
5000;870300
5100;911700
5200;914800
5300;919900
5400;1083700
5500;1005300
5600;1013400
5700;1009600
5800;1085000
5900;1082400
6000;1093100
6100;1161300
6200;1145600
6300;1143300
6400;1215900
6500;1179200
6600;1195400
6700;1254400
6800;1264200
6900;1228700
7000;1264500
7100;1348200
7200;1344000
7300;1356000
7400;1513300
7500;1367200
7600;1378700
7700;1411000
7800;1456200
7900;1460300
8000;1452300
8100;1578300
8200;1563900
8300;1599400
8400;1557700
8500;1612500
8600;1620700
8700;1679900
8800;1706600
8900;1696300
9000;1714400
9100;1737900
9200;1721400
9300;1807000
9400;1785900
9500;1847900
9600;1852100
9700;1881400
9800;1882200
9900;1881200
10000;1922800
10100;2061100
10200;1977500
10300;2193600
10400;2016600
10500;2051700
10600;2023300
10700;2072300
10800;2081000
10900;2087700
11000;2131900
11100;2125100
11200;2101300
11300;2198500
11400;2247100
11500;2256200
11600;2286900
11700;2335400
11800;2490100
11900;2339400
12000;2354100
12100;2367000
12200;2407100
12300;2438300
12400;2448500
12500;2454400
12600;2424800
12700;2515000
12800;2597900
12900;2653000
13000;2581900
13100;2613300
13200;2527500
13300;2586400
13400;2640300
13500;2646500
13600;2704000
13700;2669500
13800;2780500
13900;2958300
14000;3039500
14100;2871600
14200;2772700
14300;2882600
14400;2970700
14500;2846000
14600;2872200
14700;2901700
14800;2858300
14900;2967200
15000;2981500
15100;2995900
15200;3085000
15300;3045400
15400;3179800
15500;3163600
15600;3129500
15700;3175500
15800;3201600
15900;3544600
16000;3122800
16100;3100200
16200;3195400
16300;3332500
16400;3378400
16500;3318900
16600;3303400
16700;3523200
16800;3500400
16900;3262000
17000;3386300
17100;3580300
17200;3443600
17300;3459300
17400;3658500
17500;3552800
17600;3512800
17700;3591300
17800;3740300
17900;3598100
18000;3654300
18100;3591300
18200;3656100
18300;3784900
18400;3738500
18500;3681100
18600;4028900
18700;3808100
18800;3855500
18900;3832900
19000;3772800
19100;3850300
19200;3905800
19300;3897500
19400;3897400
19500;3875300
19600;3887200
19700;3953000
19800;4029300
19900;3917000
20000;4068200
20100;3996400
20200;4032000
20300;4355500
20400;4033500
20500;4122500
20600;4240900
20700;4161000
20800;4264800
20900;4161900
21000;4367300
21100;4188600
21200;4332100
21300;4403700
21400;4664200
21500;4475300
21600;4465600
21700;4376600
21800;4412000
21900;4489700
22000;4605500
22100;4702100
22200;4596800
22300;4480900
22400;4485700
22500;4823300
22600;4726000
22700;4622300
22800;4768800
22900;4696200
23000;4614100
23100;4757200
23200;4891900
23300;4807800
23400;4846200
23500;4872000
23600;4791400
23700;4925500
23800;4882500
23900;5342000
24000;4955800
24100;5187100
24200;5144900
24300;4928500
24400;5037100
24500;5124300
24600;5243200
24700;5088300
24800;5192700
24900;5269300
25000;5040800
25100;5132000
25200;5092600
25300;5223500
25400;5420400
25500;5283400
25600;5286900
25700;5259200
25800;5346300
25900;5629900
26000;5402400
26100;5633500
26200;5435800
26300;5360700
26400;5490100
26500;5893400
26600;5666500
26700;5526700
26800;5469300
26900;5586900
27000;5578100
27100;5453100
27200;5712700
27300;5797500
27400;5808100
27500;5718600
27600;5801000
27700;6512000
27800;5628500
27900;5835400
28000;5910400
28100;5754800
28200;5814900
28300;6033700
28400;5720300
28500;5832400
28600;6307300
28700;6061000
28800;6017900
28900;6211700
29000;5870600
29100;5948400
29200;5956100
29300;6138000
29400;6172900
29500;6511900
29600;6154700
29700;6152300
29800;6378900
29900;6221200
30000;6651700
30100;6105200
30200;6451100
30300;6434100
30400;6368200
30500;6388000
30600;6650100
30700;6356500
30800;6714800
30900;6472400
31000;6409600
31100;6627700
31200;6508900
31300;6691500
31400;6858500
31500;6564800
31600;6595100
31700;6543800
31800;6753000
31900;6734900
32000;6634200
32100;6783200
32200;7041600
32300;6921800
32400;6738500
32500;6859200
32600;6854800
32700;7377000
32800;6827900
32900;7250100
33000;6890800
33100;6742000
33200;7156100
33300;7020700
33400;7067900
33500;7074100
33600;7208800
33700;7427800
33800;7067500
33900;7006400
34000;7424100
34100;7343700
34200;7413300
34300;7308400
34400;7215300
34500;7134500
34600;7163800
34700;7524700
34800;7527800
34900;7599900
35000;7560000
35100;7392900
35200;7431000
35300;7400400
35400;7733500
35500;7674900
35600;7536800
35700;7909000
35800;7713700
35900;7506100
36000;7559600
36100;7861800
36200;7761700
36300;7608100
36400;7786200
36500;7985900
36600;8186500
36700;7955100
36800;7805300
36900;7996200
37000;7816700
37100;8426900
37200;8040200
37300;8224500
37400;8057300
37500;8464500
37600;7865300
37700;8243400
37800;7923100
37900;8409900
38000;8117900
38100;8237200
38200;8474200
38300;8054800
38400;8335600
38500;8209500
38600;8439800
38700;8306300
38800;8243600
38900;8585400
39000;8306800
39100;8388700
39200;8539700
39300;8388800
39400;8736400
39500;8630300
39600;8696100
39700;8415000
39800;8497100
39900;8534500
40000;8549700
40100;8466400
40200;8736000
40300;8776400
40400;8502100
40500;8736000
40600;8821900
40700;8651400
40800;8683600
40900;8619200
41000;9071800
41100;8910000
41200;9157300
41300;8900400
41400;8815400
41500;8998600
41600;9404800
41700;8980200
41800;8858400
41900;8648600
42000;9278500
42100;9021900
42200;9135400
42300;9074500
42400;9062700
42500;9103400
42600;9792200
42700;8951900
42800;9042000
42900;9075300
43000;9191900
43100;9128500
43200;9261000
43300;9467100
43400;9262900
43500;9617800
43600;9442300
43700;9569400
43800;9780100
43900;9341000
44000;9724200
44100;9538100
44200;9607800
44300;9702300
44400;9739800
44500;9453500
44600;9982400
44700;9621100
44800;10024100
44900;9650400
45000;9884500
45100;10002200
45200;10262600
45300;9757200
45400;10208700
45500;9851100
45600;10152200
45700;9857200
45800;10231500
45900;9860000
46000;10352600
46100;10205400
46200;10170700
46300;10399500
46400;10077500
46500;10543200
46600;10032500
46700;10132900
46800;10316600
46900;10320200
47000;10150800
47100;10161700
47200;10685100
47300;10192400
47400;10353400
47500;10307800
47600;10615800
47700;10164300
47800;10300000
47900;10773800
48000;10355300
48100;10702400
48200;10129000
48300;10842000
48400;10330800
48500;10795600
48600;10664400
48700;10133800
48800;10617100
48900;10707900
49000;10975100
49100;10713500
49200;11111800
49300;10635800
49400;10813400
49500;10939400
49600;10788100
49700;10692600
49800;10749100
49900;10969200
50000;11137300
50100;10868700
50200;10797800
50300;11004300
50400;11525200
50500;10899800
50600;11034900
50700;11163300
50800;10803500
50900;11090900
51000;11681000
51100;11115700
51200;11001700
51300;11853100
51400;11277900
51500;11093400
51600;11260300
51700;11361500
51800;11395700
51900;11371800
52000;11746000
52100;11788000
52200;11884500
52300;11488300
52400;11645600
52500;11277800
52600;11661500
52700;12131200
52800;11580100
52900;11473200
53000;11852000
53100;11947100
53200;12154700
53300;11626800
53400;11778200
53500;11702300
53600;11610000
53700;11662500
53800;11657800
53900;12243200
54000;12633100
54100;11950800
54200;12029400
54300;12658800
54400;11884000
54500;11941200
54600;12205200
54700;12184100
54800;12289200
54900;12271400
55000;12626300
55100;11960900
55200;12130200
55300;12600300
55400;12354400
55500;12381000
55600;12254500
55700;12198300
55800;12402100
55900;12574000
56000;12492100
56100;12492500
56200;12787500
56300;13066400
56400;12426200
56500;13026300
56600;12573000
56700;12922700
56800;12661600
56900;12337700
57000;12661200
57100;12501100
57200;12913500
57300;12734800
57400;13017800
57500;12492700
57600;12963400
57700;12908500
57800;12839000
57900;13387300
58000;12678200
58100;12681900
58200;13458600
58300;12676600
58400;13080500
58500;13602000
58600;12891900
58700;13055100
58800;13263000
58900;13419000
59000;13590000
59100;13392400
59200;13504600
59300;13291900
59400;13210100
59500;13040700
59600;13296500
59700;13760200
59800;13181200
59900;13378800
60000;14227000
60100;13218000
60200;13631700
60300;13245800
60400;13335000
60500;13524300
60600;13517600
60700;13560600
60800;13869600
60900;13662900
61000;13821000
61100;14039400
61200;13589500
61300;13894900
61400;13694300
61500;14151800
61600;14083500
61700;13937100
61800;13603500
61900;14288100
62000;13942700
62100;14271800
62200;13570700
62300;14053800
62400;14447400
62500;13762100
62600;13903600
62700;13607300
62800;14123300
62900;14264200
63000;14589300
63100;14771500
63200;14084100
63300;13958900
63400;14211400
63500;14111400
63600;14324400
63700;14084400
63800;14301900
63900;14370300
64000;14554900
64100;14127500
64200;14144700
64300;14722000
64400;14409500
64500;14709400
64600;14449100
64700;14709400
64800;15334400
64900;14540500
65000;14804700
65100;14938000
65200;14837400
65300;14364200
65400;14453500
65500;14599500
65600;14955100
65700;14579300
65800;14961600
65900;15264600
66000;14719000
66100;14819000
66200;14622100
66300;14864600
66400;15316700
66500;15126700
66600;14821000
66700;14747000
66800;15272800
66900;15422600
67000;14887900
67100;15019500
67200;15390400
67300;15219300
67400;15171600
67500;15279500
67600;15247500
67700;15446300
67800;15156100
67900;15318800
68000;15713300
68100;15118400
68200;15820800
68300;15535400
68400;15289600
68500;15080500
68600;15264000
68700;15171500
68800;15839700
68900;15321100
69000;15168000
69100;15426700
69200;15735500
69300;16189900
69400;15563700
69500;15217700
69600;15667800
69700;15787100
69800;15823300
69900;15777100
70000;15905900
70100;15562600
70200;15964400
70300;15863700
70400;16137600
70500;15928300
70600;16237100
70700;16040600
70800;16218200
70900;15816800
71000;16007600
71100;16686300
71200;16037800
71300;16048100
71400;16659400
71500;16247400
71600;16346900
71700;16057700
71800;16215600
71900;16107700
72000;15944100
72100;16813400
72200;16460900
72300;16313300
72400;16338300
72500;16542500
72600;16073300
72700;16616700
72800;16659600
72900;16293400
73000;16784200
73100;16820300
73200;16857900
73300;16750300
73400;17153200
73500;17334500
73600;16672300
73700;17182300
73800;16614800
73900;17039000
74000;16544700
74100;16318700
74200;16827900
74300;16990400
74400;16888100
74500;16751900
74600;16240100
74700;17163000
74800;16886600
74900;17298400
75000;17218700
75100;17300700
75200;16780700
75300;17005900
75400;17108800
75500;17115000
75600;17444300
75700;16894100
75800;16747800
75900;16943900
76000;17500000
76100;17449700
76200;17423300
76300;17725400
76400;16979100
76500;16718600
76600;17393400
76700;17518600
76800;17411800
76900;18105700
77000;17405600
77100;17698300
77200;18082200
77300;17662700
77400;18116000
77500;17088600
77600;17506700
77700;17551100
77800;18478500
77900;17683000
78000;18131800
78100;18097000
78200;17591700
78300;18522700
78400;17605100
78500;17708800
78600;17537000
78700;17553900
78800;18107700
78900;18250100
79000;17906100
79100;18053200
79200;18016500
79300;18620500
79400;18103600
79500;18987300
79600;17672000
79700;18667500
79800;18482200
79900;18150600
80000;18087500
80100;18202300
80200;18258500
80300;19164900
80400;18811700
80500;18260200
80600;18633100
80700;18726900
80800;18096100
80900;18582000
81000;18208100
81100;17971000
81200;18725900
81300;18756700
81400;18695800
81500;18628300
81600;18146600
81700;18626700
81800;18488000
81900;18532800
82000;18530600
82100;18521200
82200;18639000
82300;18409300
82400;19013100
82500;18626100
82600;19048400
82700;19556300
82800;19410300
82900;18810700
83000;19271800
83100;19151300
83200;18898000
83300;19585600
83400;18688400
83500;18808200
83600;18823200
83700;19108700
83800;19182200
83900;19207300
84000;18895700
84100;19206700
84200;19439400
84300;19240600
84400;19247100
84500;20370700
84600;18957000
84700;19338100
84800;19560500
84900;20055000
85000;19003000
85100;19938600
85200;19270600
85300;20750000
85400;19162500
85500;20216800
85600;20402200
85700;19591600
85800;19279500
85900;20323700
86000;19583200
86100;20221200
86200;19856300
86300;19841400
86400;20479300
86500;19664700
86600;19578200
86700;19526500
86800;20530100
86900;20505800
87000;20307900
87100;20367700
87200;19698500
87300;19410500
87400;20454100
87500;20920300
87600;20229800
87700;20356700
87800;20241400
87900;19601200
88000;20457500
88100;21031700
88200;19844100
88300;20382800
88400;20433100
88500;20414000
88600;20215200
88700;20047400
88800;20262400
88900;20628400
89000;20993900
89100;19999700
89200;20531600
89300;20388900
89400;21016300
89500;20622000
89600;20718500
89700;20620900
89800;21345200
89900;20943500
90000;20825300
90100;20316800
90200;20567600
90300;20686000
90400;21417000
90500;20948000
90600;21178800
90700;21801700
90800;20662600
90900;20593200
91000;20927600
91100;21714500
91200;21589100
91300;20871700
91400;20898300
91500;20767100
91600;20975700
91700;21000900
91800;21930600
91900;21377300
92000;21888800
92100;20952000
92200;22014100
92300;21522100
92400;21057900
92500;21182100
92600;21965100
92700;21345000
92800;21012600
92900;21992500
93000;21861500
93100;21885900
93200;21985200
93300;22551400
93400;21604500
93500;22092500
93600;21293000
93700;22578300
93800;20916300
93900;21347000
94000;22928900
94100;22004300
94200;21996500
94300;21575800
94400;21857900
94500;21484200
94600;22272200
94700;21768300
94800;22137300
94900;22039800
95000;22003600
95100;22500900
95200;23226900
95300;22698700
95400;22875100
95500;21440000
95600;21604000
95700;22006200
95800;21455400
95900;22617800
96000;22088900
96100;22297000
96200;21838500
96300;22430200
96400;23051800
96500;22013100
96600;21887100
96700;22628300
96800;22966400
96900;22158300
97000;22220300
97100;22439800
97200;22698800
97300;22211800
97400;24174300
97500;22238100
97600;23415600
97700;22888400
97800;22622800
97900;22953200
98000;22512100
98100;23316100
98200;22875100
98300;22409400
98400;23003400
98500;23737300
98600;23285500
98700;23270700
98800;22344200
98900;22856700
99000;22748600
99100;23157300
99200;22234000
99300;23815900
99400;23353500
99500;22683800
99600;22885900
99700;23475400
99800;22489200
99900;22655500
100000;22804200
