Size;Time
500;86200
600;105800
700;130700
800;149300
900;163100
1000;186800
1100;206100
1200;230400
1300;254400
1400;274000
1500;298600
1600;307500
1700;334600
1800;344900
1900;363600
2000;407600
2100;422800
2200;455400
2300;481200
2400;485700
2500;505100
2600;541900
2700;555200
2800;574400
2900;599200
3000;619400
3100;628800
3200;670600
3300;681100
3400;696000
3500;731000
3600;751900
3700;766700
3800;807200
3900;814900
4000;841500
4100;861800
4200;900200
4300;906000
4400;927800
4500;953700
4600;964600
4700;996500
4800;1027800
4900;1076400
5000;1076200
5100;1160300
5200;1128500
5300;1162500
5400;1153200
5500;1247100
5600;1204900
5700;1240900
5800;1268000
5900;1290200
6000;1295600
6100;1338400
6200;1390100
6300;1367800
6400;1389600
6500;1457800
6600;1478500
6700;1450300
6800;1484500
6900;1551000
7000;1550500
7100;1606000
7200;1706900
7300;1609400
7400;1611700
7500;1612900
7600;1716100
7700;1714000
7800;1766300
7900;1780400
8000;1840800
8100;1866100
8200;1917500
8300;1866400
8400;1921300
8500;1886200
8600;1946300
8700;1995000
8800;1979400
8900;2020300
9000;2036700
9100;2030900
9200;2098900
9300;2079800
9400;2142400
9500;2151200
9600;2133900
9700;2188300
9800;2355600
9900;2295900
10000;2272600
10100;2273600
10200;2309400
10300;2406000
10400;2381200
10500;2622600
10600;2485800
10700;2438000
10800;2467300
10900;2537900
11000;2529600
11100;2533700
11200;2641000
11300;2634600
11400;2707900
11500;2648600
11600;2715200
11700;2686200
11800;2745700
11900;2794700
12000;2757400
12100;2760600
12200;2869900
12300;2895000
12400;2949000
12500;2993800
12600;2921400
12700;2959200
12800;2943300
12900;3067200
13000;2992400
13100;3063600
13200;3141400
13300;3113600
13400;3275400
13500;3137600
13600;3163900
13700;3198700
13800;3211800
13900;3219500
14000;3239400
14100;3200600
14200;3307400
14300;3482000
14400;3442700
14500;3416500
14600;3439300
14700;3356100
14800;3530800
14900;3495200
15000;3445200
15100;3580200
15200;3859600
15300;3594200
15400;3627800
15500;3679700
15600;3794100
15700;3740500
15800;3758600
15900;3815400
16000;3785900
16100;3800300
16200;3988300
16300;3925400
16400;3870600
16500;3984700
16600;3959700
16700;4101700
16800;4012400
16900;3995300
17000;4160000
17100;4165600
17200;4070200
17300;4216300
17400;4253900
17500;4291600
17600;4197200
17700;4227000
17800;4173100
17900;4232600
18000;4173000
18100;4308200
18200;4466900
18300;4283300
18400;4436200
18500;4374300
18600;4466100
18700;4523500
18800;4627700
18900;4625200
19000;4688000
19100;4677600
19200;4491000
19300;4709700
19400;4547300
19500;4612300
19600;4776200
19700;4666700
19800;4942300
19900;4786400
20000;4793000
20100;4918800
20200;4789900
20300;5004100
20400;4880100
20500;4967000
20600;4969600
20700;5166200
20800;4935300
20900;5111600
21000;5028300
21100;5180500
21200;5096700
21300;5083700
21400;5067100
21500;5266700
21600;5089100
21700;5388900
21800;5477600
21900;5325700
22000;5309900
22100;5313300
22200;5380200
22300;5595600
22400;5347200
22500;5574800
22600;5444300
22700;5638900
22800;5557200
22900;5646300
23000;5636200
23100;5598800
23200;5792200
23300;5621200
23400;5934100
23500;5754500
23600;5891300
23700;5814900
23800;5889100
23900;5999400
24000;6190800
24100;6056000
24200;6163700
24300;5922700
24400;6023200
24500;6418000
24600;5924400
24700;5912800
24800;6032200
24900;6285900
