Size;Time
500;100600
600;124300
700;146000
800;168900
900;192500
1000;353800
1100;246900
1200;263600
1300;292100
1400;307600
1500;341800
1600;372000
1700;385800
1800;405100
1900;450200
2000;458700
2100;488100
2200;505000
2300;550000
2400;578500
2500;594300
2600;613600
2700;652300
2800;694500
2900;704200
3000;723800
3100;730100
3200;830600
3300;796900
3400;836700
3500;863200
3600;880900
3700;929800
3800;947100
3900;981100
4000;987500
4100;1018900
4200;1950400
4300;1083600
4400;1269800
4500;1144500
4600;1161000
4700;1201500
4800;1179600
4900;1248800
5000;1263000
5100;1272800
5200;1327800
5300;1347500
5400;1377100
5500;1380800
5600;1398800
5700;1460200
5800;1541800
5900;1543800
6000;1590100
6100;1583300
6200;1675700
6300;1621700
6400;1673100
6500;1702300
6600;1713300
6700;1760900
6800;1798300
6900;1884600
7000;1831000
7100;1853400
7200;1907300
7300;1891000
7400;1900100
7500;1939100
7600;2008500
7700;1992400
7800;2021600
7900;2124700
8000;2087000
8100;2101900
8200;2174300
8300;2208800
8400;2223400
8500;2232400
8600;2261600
8700;2296400
8800;2289800
8900;2397600
9000;2362500
9100;2551400
9200;2463900
9300;2452700
9400;2572100
9500;2541300
9600;2654700
9700;2569400
9800;2602700
9900;2661700
10000;2760800
10100;2738000
10200;2816300
10300;2738700
10400;2762300
10500;2773000
10600;2898300
10700;2885100
10800;2866500
10900;2955400
11000;2961900
11100;2929200
11200;3001500
11300;3200700
11400;3079000
11500;3182200
11600;3136400
11700;3157100
11800;3061800
11900;3234500
12000;3274900
12100;3301000
12200;3349500
12300;3339600
12400;3460600
12500;3449600
12600;3473100
12700;3456800
12800;3483900
12900;3455000
13000;3598900
13100;3577200
13200;3813000
13300;3654700
13400;3680500
13500;3731000
13600;3721900
13700;3825800
13800;3925300
13900;3790100
14000;3939100
14100;3967900
14200;3979500
14300;3840300
14400;3975200
14500;4019100
14600;4009400
14700;4253900
14800;4125100
14900;4150600
15000;4092700
15100;4263400
15200;4263500
15300;4369000
15400;4336100
15500;4306700
15600;4385500
15700;4396200
15800;4458100
15900;4372100
16000;4609400
16100;4558900
16200;4656300
16300;4620000
16400;4657900
16500;4693500
16600;4705100
16700;4635200
16800;4719700
16900;4724500
17000;4869300
17100;4814400
17200;4800900
17300;4857200
17400;4808100
17500;4927500
17600;4931900
17700;4859600
17800;5179300
17900;5043200
18000;5096000
18100;5070300
18200;5029400
18300;5219500
18400;5202900
18500;5203500
18600;5144000
18700;5437100
18800;5363900
18900;5432500
19000;5339100
19100;5592200
19200;5487700
19300;5257200
19400;5413000
19500;5643400
19600;5647500
19700;5575900
19800;5694300
19900;5659500
20000;5626800
20100;5800800
20200;5683700
20300;5830600
20400;5702000
20500;5731400
20600;5810200
20700;5809300
20800;5927600
20900;5812000
21000;5974800
21100;5914000
21200;6096800
21300;6022100
21400;6376900
21500;6070000
21600;6112000
21700;6077000
21800;6323700
21900;6225700
22000;6259700
22100;6598700
22200;6422300
22300;6520700
22400;6469800
22500;6354300
22600;6548200
22700;6519400
22800;6543500
22900;6585100
23000;6544800
23100;6889200
23200;6714600
23300;6690900
23400;6745600
23500;6733000
23600;6803300
23700;6928300
23800;6885700
23900;6923300
24000;6918800
24100;6805900
24200;6948700
24300;7102900
24400;7133200
24500;7010500
24600;7014000
24700;7108000
24800;7093300
24900;7399000
25000;7284200
25100;7317900
25200;7370000
25300;7297600
25400;7318600
25500;7400200
25600;7594500
25700;7561000
25800;7478700
25900;7438300
26000;7527500
26100;7684000
26200;7644800
26300;7593700
26400;7634800
26500;7568900
26600;7809900
26700;7711600
26800;7936000
26900;7738200
27000;7985600
27100;7644100
27200;7863700
27300;7867500
27400;8021300
27500;8015800
27600;8071700
27700;8161800
27800;8101800
