Size;Time
500;88700
600;108700
700;128900
800;153700
900;166900
1000;188300
1100;207200
1200;229500
1300;260500
1400;276200
1500;290400
1600;324900
1700;336400
1800;364400
1900;381200
2000;403700
2100;439700
2200;455200
2300;462100
2400;505600
2500;534000
2600;549100
2700;562800
2800;587900
2900;627700
3000;632700
3100;671700
3200;675300
3300;699400
3400;703700
3500;750300
3600;760100
3700;792700
3800;821500
3900;815800
4000;871800
4100;922400
4200;910100
4300;926500
4400;982200
4500;998500
4600;1023500
4700;1069800
4800;1242300
4900;1102400
5000;1079500
5100;1114600
5200;1204300
5300;1218700
5400;1311900
5500;1294400
5600;1363400
5700;1292700
5800;1339300
5900;1398400
6000;2775700
6100;1445900
6200;1483900
6300;1550300
6400;1529200
6500;1523900
6600;1550900
6700;1517700
6800;1555400
6900;1567000
7000;1620700
7100;1735300
7200;1640200
7300;1626900
7400;1724400
7500;1702400
7600;3487100
7700;1705500
7800;1779600
7900;1769300
8000;3085400
8100;1931900
8200;1903300
8300;1948000
8400;1979400
8500;1978800
8600;2059400
8700;2084700
8800;2060900
8900;2206000
9000;2062000
9100;2173200
9200;2164600
9300;2239500
9400;2228500
9500;2297500
9600;2329400
9700;2317500
9800;2281900
9900;2279700
10000;2274400
10100;2879100
10200;2339900
10300;2448200
10400;2436100
10500;2434400
10600;2457000
10700;2594100
10800;2627400
10900;2541300
11000;2591900
11100;2563100
11200;2590900
11300;2610900
11400;2628900
11500;2656900
11600;2758200
11700;2735000
11800;2720200
11900;2785900
12000;2935900
12100;2904500
12200;2804800
12300;2838000
12400;2906000
12500;3029600
12600;2985000
12700;3124300
12800;3021100
12900;3030200
13000;3087500
13100;3131200
13200;3175000
13300;3178300
13400;3219400
13500;3176700
13600;3246900
13700;3248100
13800;3314200
13900;3291700
14000;3415500
14100;3385800
14200;3391300
14300;3458400
14400;3395800
14500;3533600
14600;3493600
14700;3502000
14800;3532600
14900;3644700
15000;3532600
15100;3503500
15200;3703900
15300;3652200
15400;3752000
15500;3705600
15600;3755400
15700;3793600
15800;3805800
15900;3832300
16000;3850500
16100;3842700
16200;3960400
16300;3904600
16400;3989400
16500;3884900
16600;4024600
16700;3974400
16800;4123400
