Array Size;Time
500;6
600;7
700;1
800;11
900;48
1000;13
1100;14
1200;15
1300;17
1400;2
1500;21
1600;22
1700;23
1800;41
1900;25
2000;32
2100;28
2200;29
2300;3
2400;31
2500;32
2600;168
2700;38
2800;4
2900;41
3000;88
3100;43
3200;44
3300;45
3400;84
3500;48
3600;49
3700;93
3800;224
3900;52
4000;8
4100;119
4200;201
4300;75
4400;58
4500;59
4600;142
4700;287
4800;63
4900;64
5000;65
5100;66
5200;7
5300;74
5400;224
5500;324
5600;8
5700;334
5800;176
5900;41
6000;279
6100;248
6200;261
6300;88
6400;204
6500;364
6600;263
6700;493
6800;505
6900;95
7000;96
7100;379
7200;341
7300;99
7400;533
7500;345
7600;324
7700;104
7800;387
7900;582
8000;57
8100;459
8200;502
8300;523
8400;568
8500;505
8600;114
8700;515
8800;12
8900;707
9000;467
9100;386
9200;66
9300;46
9400;508
9500;497
9600;126
9700;489
9800;725
9900;141
10000;222
10100;828
10200;683
10300;136
10400;308
10500;612
10600;608
10700;153
10800;155
10900;503
11000;635
11100;261
11200;586
11300;579
11400;788
11500;311
11600;582
11700;619
11800;343
11900;222
12000;256
12100;844
12200;178
12300;606
12400;465
12500;956
12600;803
12700;177
12800;178
12900;1004
13000;1027
13100;62
13200;851
13300;1165
13400;846
13500;1045
13600;1182
13700;852
13800;824
13900;717
14000;665
14100;1136
14200;803
14300;235
14400;939
14500;252
14600;1179
14700;1314
14800;832
14900;839
15000;1133
15100;942
15200;1174
15300;1193
15400;1259
15500;1215
15600;1141
15700;779
15800;13
15900;332
16000;228
16100;933
16200;1088
16300;602
16400;48
16500;721
16600;1142
16700;687
16800;1298
16900;803
17000;655
17100;1382
17200;1393
17300;995
17400;1347
17500;153
17600;1113
17700;1394
17800;1188
17900;776
18000;648
18100;1111
18200;1051
18300;1175
18400;1563
18500;1268
18600;1571
18700;1263
18800;703
18900;1632
19000;1383
19100;1279
19200;1535
19300;1091
19400;1678
19500;959
19600;911
19700;1458
19800;1107
19900;1381
20000;1497
20100;1521
20200;1936
20300;1682
20400;1537
20500;1593
20600;1728
20700;154
20800;1384
20900;216
21000;866
21100;1841
21200;1178
21300;1132
21400;1394
21500;1505
21600;481
21700;1719
21800;1942
21900;1536
22000;174
22100;1479
22200;1375
22300;2127
22400;225
22500;1597
22600;166
22700;2137
22800;2246
22900;1617
23000;1896
23100;16
23200;2516
23300;994
23400;2233
23500;1125
23600;1926
23700;1676
23800;1525
23900;1566
24000;964
24100;1825
24200;1731
24300;1739
24400;2118
24500;1837999999
24600;1792
24700;1699
24800;2687
24900;2043
25000;2525
25100;1328
25200;1918
25300;1962
25400;1827
25500;2481
25600;2
25700;163
25800;1277
25900;2496
26000;2008
26100;1743
26200;2469
26300;181
26400;1828
26500;2421
26600;436
26700;2359
26800;2229
26900;1881
27000;2583
27100;1699
27200;2168
27300;1929
27400;2134
27500;1482
27600;2722
27700;724
27800;1989
27900;1535
28000;2024
28100;2417
28200;2552
28300;216
28400;2603
28500;246
28600;2287
28700;2159
28800;1939
28900;2096
29000;2477
29100;2598
29200;2458
29300;2116
29400;2528
29500;2239
29600;2828
29700;1857
29800;2738
29900;1976
30000;1631
30100;2786
30200;1784
30300;1963
30400;2583
30500;3053
30600;2155
30700;3063
30800;1535
30900;2012
31000;2957
31100;3411
31200;279
31300;2635
31400;2881
31500;2047
31600;2645
31700;2948
31800;2951
31900;2799
32000;3048
32100;2646
32200;2592
32300;2822
32400;2345
32500;2634
32600;2828
32700;3083
32800;2895
32900;2897
33000;2833
33100;2364
33200;1779
33300;3028
33400;3353
33500;3703
33600;3371
33700;2597
33800;2424
33900;3702
34000;1687
34100;2779
34200;3667
34300;2997
34400;2484
34500;2766
34600;3053
34700;1902
34800;3249
34900;3042
35000;2070999999
35100;3042
35200;3072
35300;3041
35400;3548
35500;2423
35600;2839
35700;3101
35800;3354
35900;3398
36000;3037
36100;3155
36200;3574
36300;2823
36400;3144
36500;4009
36600;286
36700;3301
36800;2882
36900;3579
37000;3082
37100;3544
37200;2882
37300;3269
37400;2787
37500;3629
37600;3749
37700;2875
37800;2991
37900;3876
38000;3366
38100;2586
38200;2963
38300;3164
38400;2994
38500;3428
38600;2938
38700;3427
38800;2725
38900;3904
39000;3294
39100;2947
39200;3359
39300;341
39400;3719
39500;3689
39600;3731
39700;3809
39800;2391
39900;2842
40000;3506
40100;3575
40200;2935
40300;3836
40400;4483
40500;4237
40600;3316
40700;3941
40800;4288
40900;3923
41000;429
41100;2782
41200;3678
41300;3733
41400;412
41500;2935
41600;4048
41700;3897
41800;3781
41900;3895
42000;2777
42100;4324
42200;4077
42300;4267
42400;2733
42500;3907
42600;4132
42700;4237
42800;3823
42900;3066
43000;4189
43100;4698
43200;389
43300;4701
43400;2127
43500;3332
43600;3132
43700;3558
43800;2346
43900;4092
44000;3605
44100;4222
44200;4336
44300;3376
44400;404
44500;4476
44600;4532
44700;3897
44800;3831
44900;3425
45000;465
45100;5248
45200;4162
45300;4846
45400;5367
45500;4511
45600;4755
45700;4269
45800;4532
45900;4300999999
46000;452
46100;4272
46200;2798
46300;4507
46400;4699
46500;4383
46600;519
46700;4562
46800;4801
46900;5264
47000;4309
47100;4774
47200;493
47300;4962999999
47400;4428
47500;4484
47600;3955
47700;5154
47800;4804
47900;4904
48000;4446
48100;4272
48200;5649
48300;4648
48400;4517
48500;5047
48600;4496
48700;3545
48800;4574
48900;4902
49000;5289
49100;4773
49200;4293
49300;4377
49400;3874
49500;4322
49600;3742
49700;4981
49800;4855
49900;563
50000;464
50100;4135
50200;4821
50300;6069
50400;5722
50500;4713
50600;3827
50700;5802
50800;5088
50900;5228
51000;5141
51100;487
51200;5297
51300;5308
51400;5162
51500;5291
51600;4309
51700;3945
51800;4127
51900;4745
52000;4964
52100;42
52200;5419
52300;5232
52400;5711
52500;5811
52600;5928
52700;4914
52800;5683
52900;4759
53000;5397
53100;5676
53200;4474
53300;573
53400;5499
53500;5527
53600;5562
53700;5585
53800;5643
53900;5182
54000;5769
54100;5346
54200;5727
54300;4838
54400;499
54500;5317
54600;601
54700;4054
54800;5559
54900;4664
55000;5986
55100;5254
55200;5629
55300;5402
55400;5274
55500;6399
55600;5537
55700;463
55800;5374
55900;5905
56000;42
56100;5674
56200;4623
56300;6049
56400;6117
56500;6286
56600;673
56700;6529
56800;6101
56900;4755
57000;573
57100;6014
57200;5761
57300;484
57400;6473
57500;5013
57600;5733
57700;5544
57800;6505
57900;6514
58000;6862
58100;6337
58200;4746
58300;6743
58400;5661
58500;4692
58600;6763
58700;5071
58800;6324
58900;6708
59000;5638
59100;491
59200;5862
59300;5945
59400;5886
59500;7094
59600;6312
59700;554
59800;6386
59900;6029
60000;482
60100;6272
60200;6333
60300;6188
60400;624
60500;6598
60600;6339
60700;6105
60800;6175999999
60900;5601
61000;6543
61100;5861
61200;7056
61300;5537
61400;5916
61500;6824
61600;6351
61700;6996
61800;614
61900;653
62000;5872
62100;6147
62200;6414
62300;6671
62400;6339
62500;6454
62600;6006
62700;6587
62800;6367
62900;5528
63000;6924
63100;6773
63200;5653
63300;7219
63400;5668
63500;7526
63600;7378
63700;6385
63800;7033999999
63900;5584
64000;5599
64100;6849
64200;6809
64300;6943
64400;6235
64500;7467
64600;7453
64700;6243
64800;6811
64900;6537
65000;6439
65100;6949
65200;6425
65300;7512
65400;7135
65500;7674
65600;7182
65700;6342
65800;6538
65900;6781
66000;7855
66100;7114
66200;6488
66300;6678
66400;6662
66500;627
66600;6958
66700;7127
66800;6182
66900;6671
67000;7249
67100;6695
67200;7357
67300;6648
67400;8327
67500;7015
67600;683
67700;6265
67800;7457
67900;7511
68000;7571
68100;6794
68200;7423
68300;8104
68400;7224
68500;6421
68600;6616
68700;7312
68800;7368
68900;7472
69000;6945
69100;7261
69200;7927
69300;7675
69400;6555
69500;7106
69600;8048
69700;8408
69800;6811
69900;7046
70000;5499
70100;5464
70200;6891
70300;5698
70400;7627
70500;7963
70600;6225
70700;7001
70800;7617
70900;7558
71000;7348
71100;7513
71200;754
71300;7023
71400;7841
71500;8242
71600;8109
71700;8189
71800;7683
71900;7132
72000;8083
72100;8172
72200;7453
72300;8677
72400;7391
72500;7338
72600;7871
72700;7985
72800;7218
72900;7435
73000;8433
73100;7734
73200;8183
73300;7898
73400;785
73500;7624
73600;8026
73700;8102
73800;7717
73900;8252
74000;8501
74100;7573
74200;799
74300;8063
74400;8347
74500;7672
74600;6674
74700;8196
74800;8289
74900;8587
75000;8069
75100;8096
75200;8616
75300;7912
75400;8949
75500;8247
75600;7214
75700;7877
75800;6629
75900;8326
76000;8068
76100;8241
76200;8575
76300;812
76400;847
76500;9083
76600;8316
76700;7717
76800;8953
76900;911
77000;7791
77100;7609
77200;8847
77300;8414
77400;7687
