Array Size;Time
500;11
600;142
700;179
800;218
900;213
1000;247
1100;284
1200;315
1300;353
1400;4
1500;436
1600;489
1700;447
1800;482
1900;516
2000;549
2100;585
2200;63
2300;665
2400;7
2500;742
2600;792
2700;824
2800;874
2900;926
3000;963
3100;1004
3200;1051
3300;956
3400;991
3500;1023
3600;1065
3700;1083
3800;1187
3900;1158
4000;1197
4100;1238
4200;127
4300;1321
4400;1345
4500;1434
4600;1445
4700;1502
4800;1546
4900;1583
5000;1624
5100;1685
5200;1717
5300;1785
5400;1795
5500;1818
5600;1862
5700;1917
5800;1943
5900;2046
6000;2099
6100;2134
6200;2169
6300;2249
6400;2299
6500;2121
6600;2505
6700;2126
6800;2135
6900;2169
7000;2246
7100;2304
7200;2334
7300;2375
7400;2409
7500;2453
7600;2468
7700;25
7800;2536
7900;2562
8000;2611
8100;2702
8200;2754
8300;2807
8400;2835
8500;2876
8600;2942
8700;2958
8800;3014
8900;3084
9000;31
9100;3139
9200;3191
9300;3232
9400;3285
9500;331
9600;3288
9700;3476
9800;3388
9900;3431
10000;3542
10100;3607
10200;3646
10300;367
10400;3704
10500;3755
10600;3777
10700;3817
10800;3926
10900;3991
11000;4021
11100;4074
11200;4064
11300;4201
11400;4132
11500;4246
11600;4317
11700;4382
11800;4441
11900;4444
12000;4454
12100;4756
12200;4619
12300;4694
12400;471
12500;478
12600;4741
12700;4825
12800;4833
12900;4783
13000;4603
13100;4525
13200;4541
13300;454
13400;465
13500;4654
13600;4739
13700;479
13800;4816
13900;4808
14000;4805
14100;5003
14200;5003
14300;5032
14400;5086
14500;5112
14600;5116
14700;5129
14800;5267
14900;5299
15000;5318
15100;5391999999
15200;5379
15300;5393
15400;5587
15500;556
15600;5589
15700;5646
15800;5571
15900;5606
16000;5938
16100;5833
16200;5881
16300;5871
16400;5883
16500;5915
16600;6295
16700;6008
16800;6075
16900;6185
17000;6233
17100;6283
17200;623
17300;6269
17400;6389
17500;6449
17600;6514
17700;6559
17800;6528
17900;6608
18000;6715
18100;6782
18200;7175
18300;6704
18400;6832
18500;6923
18600;6989
18700;7075
18800;7015
18900;7125
19000;7185
19100;7215
19200;721
19300;7268
19400;7355
19500;7387
19600;7375
19700;7654
19800;7501
19900;7627
20000;7687
20100;7646
20200;7666
20300;7824
20400;7893
20500;7862
20600;7939
20700;7924
20800;8086
20900;811
21000;8072
21100;8233
21200;8269
21300;8355
21400;8294
21500;8392
21600;8477
21700;8542
21800;8497
21900;8557
22000;8699
22100;8743
22200;8669
22300;8735
22400;8902
22500;8957
22600;9014
22700;906
22800;9132
22900;9172
23000;8974
23100;9019
23200;9324
23300;9379
23400;9274
23500;9446
23600;9368
23700;9457
23800;9617
23900;9657
24000;9456
24100;9818
24200;986
24300;9822
24400;9848
24500;10005
24600;10033
24700;9962
24800;10196
24900;10255
25000;10925
25100;10044
25200;10398
25300;10431
25400;10425
25500;10519
25600;10571
25700;10286
25800;10107
25900;10093
26000;9916
26100;9849
26200;9777
26300;9842
26400;9728
26500;9874
26600;10009
26700;10049
26800;9966
26900;10088
27000;1016999999
27100;10068
27200;10505
27300;10302
27400;10313
27500;1037
27600;10454
