Array Size;Time
500;89
600;112
700;129
800;151
900;174
1000;198
1100;217
1200;242
1300;265
1400;279
1500;302
1600;327
1700;35
1800;375
1900;398
2000;424
2100;449
2200;477
2300;504
2400;53
2500;556
2600;58
2700;598
2800;646
2900;722
3000;795
3100;685
3200;711
3300;734
3400;76
3500;784
3600;818
3700;843
3800;871
3900;895
4000;925
4100;974
4200;997
4300;1029
4400;1054
4500;1081
4600;1112
4700;1142
4800;1166
4900;1199
5000;1226
5100;1257
5200;1277
5300;13
5400;1323
5500;1342
5600;1354
5700;135
5800;1379
5900;1407
6000;1433
6100;1463
6200;1493
6300;1566
6400;1582
6500;1589
6600;1721
6700;163
6800;1696
6900;1715
7000;175
7100;1774
7200;1813
7300;1841
7400;1874
7500;1906
7600;1933
7700;1964
7800;1998
7900;1998
8000;2012
8100;2042
8200;2072
8300;21
8400;2202
8500;2157
8600;2194
8700;2229
8800;2296
8900;2324
9000;2359
9100;2388
9200;242
9300;2461
9400;2487
9500;251
9600;2492
9700;252
9800;2553
9900;258
10000;2704
10100;2698
10200;2673
10300;2747
10400;2775
10500;2793
10600;2839
10700;2876
10800;2861
10900;2885
11000;2914
11100;2923
11200;2933
11300;2955
11400;2988
11500;3015
11600;3042
11700;3071
11800;3096
11900;3128
12000;316
12100;32
12200;3241
12300;329
12400;3265
12500;3347
12600;3338
12700;3736
12800;3419
12900;3441
13000;3527
13100;3503
13200;3527
13300;3552
13400;3512
13500;3539
13600;3561
13700;3598
13800;3724
13900;3736
14000;3762
14100;3794
14200;382
14300;3865
14400;388
14500;3878
14600;3873
14700;3949
14800;3971
14900;405
15000;4073
15100;411
15200;4147
15300;4175
15400;4143
15500;4189
15600;4193
15700;4227
15800;445
15900;4373
16000;4397
16100;443
16200;4465
16300;4396
16400;4436
16500;4468
16600;4496
16700;4694
16800;4573
16900;4589
17000;4658
17100;4704
17200;4776
17300;4802
17400;4842
17500;4883
17600;5275
17700;4835
17800;4916
17900;4995
18000;5045
18100;5065
18200;5099
18300;5151
18400;5122
18500;5135
18600;5165
18700;527
18800;5306
18900;5347
19000;5373
19100;5395
19200;5553
19300;5385
19400;5501
19500;5524
19600;5573
19700;5591
19800;5633
19900;5688
20000;5705
20100;5747
20200;578
20300;5792
20400;5837
20500;5829
20600;5839
20700;5832
20800;5959
20900;5974
21000;599
21100;5957
21200;6095
21300;5974
21400;6037
21500;6113
21600;6133
21700;6173
21800;6118
21900;616
22000;6141
22100;6259
22200;6271
22300;6277
22400;619
22500;6231
22600;6271
22700;6378
22800;641
22900;6425
23000;6433
23100;6353
23200;649
23300;6533
23400;6595
23500;663
23600;6586
23700;6604
23800;6976
23900;6742
24000;6803
24100;6814
24200;674
24300;6985
24400;6861
24500;6973
24600;7011
24700;7059
24800;7076
24900;7119
25000;7183
25100;718
25200;7221
25300;7159
25400;7172
25500;7239
25600;7303
25700;7358
25800;7363
25900;7291
26000;7379
26100;7483
26200;7502
26300;7516
26400;7442
26500;7481
26600;7686
26700;7664
26800;7673
26900;7608
27000;7645
27100;7698
27200;7832
27300;7821
27400;7884
27500;7896
27600;795
27700;793
27800;7886
27900;8024
28000;8062
28100;8077
28200;8007
28300;806
28400;8168
28500;8212
28600;8267
28700;8325
28800;8228
28900;8376
29000;8408
29100;8422
29200;8363
29300;839
29400;8545
29500;8579
29600;8627
29700;8635
29800;868
29900;8731
30000;872
30100;9118
30200;8733
30300;8849
30400;8877
30500;879
30600;8828
30700;8979
30800;9003
30900;8933
31000;9088
31100;9085
31200;9143
31300;9176
31400;9068
31500;9125
31600;9281
31700;9316
31800;9216
31900;9255
32000;9408
32100;9454
32200;9342
32300;9479
32400;957
32500;9582
32600;9488
32700;9503
32800;9701
32900;9736
33000;9762
33100;9667
33200;9837
33300;9883
33400;9793
33500;9789
33600;996
33700;9986
33800;10025
33900;10061
34000;1009
34100;9972
34200;10135
34300;10208
34400;10256
34500;10129
34600;10322
34700;10355
34800;10249
34900;10258
35000;10474
35100;10461
35200;10707
35300;10426
35400;1058
35500;10599
35600;1107199999
35700;10741
35800;1076
35900;10815
36000;10703
36100;1091299999
36200;10897
36300;10845
36400;10888
36500;10949
36600;1089
36700;10953
36800;11046
36900;11111
37000;10976
37100;11018
37200;11213
37300;11185
37400;1145
37500;11303
37600;11345
37700;1123099999
37800;11446
37900;11444
38000;11469
38100;1154899999
38200;11557
38300;11592
38400;11427
38500;11918
38600;11682
38700;11716
38800;11755
38900;11785
39000;11817
39100;11715
39200;1192
39300;11967
39400;1201
39500;12035
39600;11907
39700;1212999999
39800;12181
39900;11981
40000;12179
40100;12246
40200;1215
40300;12189
40400;12364
40500;12374
40600;12229
40700;12441
40800;12478
40900;12328
41000;12564
41100;12566
41200;12437
41300;12581
41400;12636
41500;12627
41600;12665
41700;12685
41800;12573
41900;12653
42000;12776
42100;12658
42200;127
42300;12869
42400;12879
42500;12947
42600;12958
42700;12917
42800;12997
42900;13027
43000;12996
43100;13109
43200;13164
43300;12863
43400;12929
43500;13235
43600;13272
43700;13311
43800;13307
43900;13358
44000;13363
44100;13397
44200;13227
44300;13253
44400;1326
44500;13472
44600;13498
44700;13294
44800;13503
44900;13563
45000;13362
45100;13585
45200;13706
45300;1345399999
45400;13669
45500;13658
45600;13482
45700;13758
45800;13733
45900;13677
46000;13795
46100;13713
46200;13842
46300;13961
46400;13797
46500;14048
46600;14077
46700;13922
46800;14123
46900;14208
47000;14223
